-1,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13
0,0,0,0,0,0,0,0,0,0,0,0
3,0.034,0.031,0.029,0.026,0.024,0.022,0.02,0.018,0.017,0.015,0.014
6,0.065,0.059,0.054,0.049,0.045,0.041,0.038,0.035,0.032,0.029,0.026
9,0.092,0.084,0.077,0.07,0.064,0.059,0.054,0.049,0.045,0.041,0.037
12,0.116,0.106,0.097,0.088,0.081,0.074,0.068,0.062,0.056,0.052,0.047
15,0.137,0.125,0.114,0.105,0.096,0.087,0.08,0.073,0.067,0.061,0.056
18,0.156,0.142,0.13,0.119,0.109,0.099,0.091,0.083,0.076,0.069,0.063
21,0.173,0.158,0.144,0.132,0.12,0.11,0.101,0.092,0.084,0.077,0.07
24,0.187,0.171,0.157,0.143,0.131,0.12,0.109,0.1,0.091,0.083,0.076
27,0.201,0.183,0.168,0.153,0.14,0.128,0.117,0.107,0.098,0.089,0.082
30,0.212,0.194,0.177,0.162,0.148,0.135,0.124,0.113,0.103,0.094,0.086
33,0.223,0.203,0.186,0.17,0.155,0.142,0.13,0.119,0.108,0.099,0.091
36,0.232,0.212,0.194,0.177,0.162,0.148,0.135,0.124,0.113,0.103,0.094
39,0.24,0.219,0.2,0.183,0.167,0.153,0.14,0.128,0.117,0.107,0.098
42,0.247,0.226,0.206,0.189,0.172,0.158,0.144,0.132,0.12,0.11,0.101
45,0.253,0.232,0.212,0.194,0.177,0.162,0.148,0.135,0.123,0.113,0.103
48,0.259,0.237,0.216,0.198,0.181,0.165,0.151,0.138,0.126,0.115,0.105
51,0.264,0.241,0.221,0.202,0.184,0.169,0.154,0.141,0.129,0.118,0.108
54,0.269,0.246,0.224,0.205,0.188,0.171,0.157,0.143,0.131,0.12,0.109
57,0.273,0.249,0.228,0.208,0.19,0.174,0.159,0.145,0.133,0.121,0.111
60,0.276,0.252,0.231,0.211,0.193,0.176,0.161,0.147,0.135,0.123,0.112
70,0.285,0.261,0.238,0.218,0.199,0.182,0.166,0.152,0.139,0.127,0.116
80,0.291,0.266,0.243,0.222,0.203,0.186,0.17,0.155,0.142,0.13,0.119
90,0.295,0.27,0.247,0.226,0.206,0.188,0.172,0.157,0.144,0.132,0.12
120,0.301,0.275,0.252,0.23,0.21,0.192,0.176,0.161,0.147,0.134,0.123
